,,,,,,,,,,,,,,,,,,,,,,,,,
"Stock Market Data Used in ""Irrational Exuberance"" Princeton University Press, 2000, 2005, 2015, updated",,,,,,,,,,,,Cyclically,,Cyclically ,,,,,,,,,,,
Robert J. Shiller ,,,,,,,,,,,,Adjusted,,Adjusted,,,,,,,,,,,
,,,,,,,,,,,,Price,,Total Return Price,,,,,,,,,,,
,,,,  Consumer,,,,,Real,,Real,Earnings,,Earnings,,,Monthly,Real,,,,,,,
,S&P,,,Price,,Long,,,Total,,TR,Ratio,,Ratio,,Excess,Total,Total,10 Year,10 Year,Real 10 Year,,,,
,Comp.,Dividend,Earnings,Index,Date  ,Interest,Real,Real,Return,Real,Scaled,P/E10 or,,TR P/E10 or,,CAPE,Bond,Bond,Annualized Stock,Annualized Bonds ,Excess Annualized ,,,,
Date,P,D,E,CPI,Fraction,Rate GS10,Price,Dividend,Price,Earnings,Earnings,CAPE,,TR CAPE,,Yield,Returns,Returns,Real Return,Real Return,Returns,,,,
1873.01,5.11,0.30,0.43,12.94,1873.04,5.58,129.50,7.67, 	144.75 ,10.96, 	12.25 ,NA,,NA,,,1.01,1.05,10.44%,8.91%,1.52%,,,,
1873.02,5.15,0.31,0.44,13.23,1873.12,5.57,127.70,7.56, 	143.44 ,10.79, 	12.12 ,NA,,NA,,,1.01,1.03,10.24%,9.02%,1.21%,,,,
1873.03,5.11,0.31,0.44,13.23,1873.21,5.56,126.71,7.62, 	143.04 ,10.85, 	12.25 ,NA,,NA,,,1.01,1.04,10.56%,9.10%,1.46%,,,,
1873.04,5.04,0.31,0.44,13.23,1873.29,5.55,124.97,7.69, 	141.80 ,10.91, 	12.38 ,NA,,NA,,,1.01,1.05,11.04%,9.18%,1.86%,,,,
1873.05,5.05,0.31,0.44,12.94,1873.37,5.54,127.98,7.92, 	145.96 ,11.21, 	12.79 ,NA,,NA,,,1.01,1.07,10.69%,9.03%,1.66%,,,,
1873.06,4.98,0.32,0.45,12.56,1873.46,5.53,130.03,8.22, 	149.08 ,11.62, 	13.32 ,NA,,NA,,,1.01,1.11,10.93%,9.00%,1.93%,,,,
1873.07,4.97,0.32,0.45,12.56,1873.54,5.53,129.77,8.29, 	149.58 ,11.68, 	13.47 ,NA,,NA,,,1.01,1.12,11.00%,9.20%,1.80%,,,,
1873.08,4.97,0.32,0.45,12.56,1873.62,5.52,129.77,8.36, 	150.38 ,11.75, 	13.62 ,NA,,NA,,,1.01,1.12,10.48%,9.17%,1.31%,,,,
1873.09,4.59,0.32,0.45,12.56,1873.71,5.51,119.85,8.42, 	139.69 ,11.82, 	13.77 ,NA,,NA,,,1.01,1.13,11.59%,9.26%,2.33%,,,,
1873.1,4.19,0.33,0.46,12.27,1873.79,5.50,111.95,8.68, 	131.33 ,12.16, 	14.26 ,NA,,NA,,,1.01,1.16,12.02%,8.99%,3.04%,,,,
1873.11,4.04,0.33,0.46,11.89,1873.87,5.49,111.40,9.03, 	131.56 ,12.61, 	14.90 ,NA,,NA,,,1.01,1.21,12.34%,8.73%,3.61%,,,,
1873.12,4.42,0.33,0.46,12.18,1873.96,5.48,119.02,8.89, 	141.44 ,12.39, 	14.72 ,NA,,NA,,,1.01,1.18,11.23%,8.85%,2.37%,,,,
1874.01,4.66,0.33,0.46,12.37,1874.04,5.47,123.55,8.75, 	147.69 ,12.20, 	14.58 ,NA,,NA,,,1.01,1.17,10.47%,9.00%,1.47%,,,,
1874.02,4.80,0.33,0.46,12.37,1874.12,5.44,127.26,8.75, 	153.00 ,12.20, 	14.66 ,NA,,NA,,,1.01,1.18,10.43%,8.96%,1.47%,,,,
1874.03,4.73,0.33,0.46,12.37,1874.21,5.40,125.41,8.75, 	151.65 ,12.20, 	14.75 ,NA,,NA,,,1.01,1.19,10.54%,8.92%,1.62%,,,,
1874.04,4.60,0.33,0.46,12.18,1874.29,5.37,123.86,8.89, 	150.68 ,12.39, 	15.07 ,NA,,NA,,,1.01,1.22,10.39%,8.95%,1.44%,,,,
1874.05,4.48,0.33,0.46,12.08,1874.37,5.34,121.58,8.96, 	148.81 ,12.48, 	15.28 ,NA,,NA,,,1.01,1.23,9.89%,9.06%,0.84%,,,,
1874.06,4.46,0.33,0.46,11.80,1874.46,5.30,123.97,9.17, 	152.66 ,12.79, 	15.75 ,NA,,NA,,,1.01,1.27,9.22%,8.76%,0.46%,,,,
1874.07,4.46,0.33,0.46,11.89,1874.54,5.27,122.98,9.10, 	152.38 ,12.68, 	15.72 ,NA,,NA,,,1.01,1.27,9.43%,8.93%,0.50%,,,,
1874.08,4.47,0.33,0.46,11.80,1874.62,5.24,124.25,9.17, 	154.90 ,12.79, 	15.94 ,NA,,NA,,,1.01,1.29,9.98%,8.81%,1.17%,,,,
1874.09,4.54,0.33,0.46,11.80,1874.71,5.20,126.19,9.17, 	158.28 ,12.79, 	16.04 ,NA,,NA,,,1.01,1.30,9.57%,8.89%,0.68%,,,,
1874.1,4.53,0.33,0.46,11.61,1874.79,5.17,127.98,9.32, 	161.49 ,13.00, 	16.40 ,NA,,NA,,,1.01,1.33,9.17%,8.80%,0.37%,,,,
1874.11,4.57,0.33,0.46,11.51,1874.87,5.14,130.18,9.40, 	165.25 ,13.10, 	16.63 ,NA,,NA,,,1.01,1.35,9.01%,8.92%,0.09%,,,,
1874.12,4.54,0.33,0.46,11.51,1874.96,5.10,129.32,9.40, 	165.16 ,13.10, 	16.73 ,NA,,NA,,,1.01,1.36,9.18%,9.01%,0.17%,,,,
1875.01,4.54,0.33,0.45,11.51,1875.04,5.07,129.32,9.33, 	166.15 ,12.87, 	16.53 ,NA,,NA,,,1.01,1.37,8.92%,8.97%,-0.05%,,,,
1875.02,4.53,0.33,0.44,11.51,1875.12,5.03,129.04,9.26, 	166.78 ,12.63, 	16.32 ,NA,,NA,,,1.01,1.38,9.15%,8.81%,0.34%,,,,
1875.03,4.59,0.32,0.44,11.51,1875.21,4.99,130.74,9.19, 	169.98 ,12.39, 	16.11 ,NA,,NA,,,1.01,1.39,9.28%,9.03%,0.25%,,,,
1875.04,4.65,0.32,0.43,11.61,1875.29,4.95,131.37,9.04, 	171.77 ,12.05, 	15.76 ,NA,,NA,,,1.01,1.39,9.07%,8.95%,0.12%,,,,
1875.05,4.47,0.32,0.42,11.32,1875.37,4.91,129.47,9.20, 	170.28 ,12.12, 	15.94 ,NA,,NA,,,1.01,1.43,9.35%,8.90%,0.45%,,,,
